12,11583,1
4,2839,1
11,6747,1
2,8440,1
4,4758,1
10,20450,1
14,21052,1
11,1867,0
6,2401,0
4,8085,1
4,23879,1
12,861,0
5,20542,1
2,8671,1
3,13660,1
2,9063,1
10,16001,1
6,11723,1
3,6714,1
7,10099,1
8,19801,1
7,6990,1
8,11772,1
5,11868,1
12,9104,1
6,23479,1
14,4710,0
11,16624,1
2,6061,1
6,11087,1
12,22990,1
14,11031,1
12,9275,1
10,16053,1
5,20144,1
9,1241,0
11,20158,1
4,7879,1
5,8165,1
4,22742,1
6,19925,1
3,17851,1
4,1032,0
14,1390,0
3,2362,1
3,15242,1
6,20014,1
12,1454,0
12,10313,1
9,9868,1
6,15285,1
6,13826,1
9,6486,1
2,19003,1
2,3493,1
2,8892,1
6,1157,0
6,10764,1
11,3251,0
2,5783,1
2,18907,1
7,11482,1
12,14994,1
9,16539,1
13,1084,0
3,13156,1
2,12377,1
11,1939,0
10,20780,1
4,2171,1
11,3023,0
5,16374,1
14,4976,0
4,5874,1
11,19331,1
12,10691,1
14,2611,0
6,21695,1
9,10050,1
14,17934,1
13,7724,1
12,972,0
12,2690,0
2,24349,1
13,20246,1
4,7623,1
5,1646,0
6,2665,0
9,1551,0
2,6321,1
5,9737,1
9,10717,1
11,8083,1
5,18403,1
3,5588,1
13,16268,1
6,4391,1
13,17683,1
12,19339,1
6,6711,1
8,769,0
14,16810,1
11,5031,0
9,7780,1
8,4753,1
14,8031,1
9,21871,1
6,16997,1
8,17342,1
12,13329,1
6,17004,1
8,15213,1
14,3470,0
3,12733,1
2,10894,1
7,13379,1
6,16721,1
5,1144,0
10,4495,0
3,18191,1
3,18594,1
12,10394,1
13,19450,1
7,13059,1
14,23170,1
7,15855,1
4,9340,1
6,2232,0
8,6206,1
8,15764,1
6,8202,1
4,24470,1
2,11043,1
8,22453,1
7,13724,1
9,4223,0
10,10298,1
6,3350,1
2,21246,1
4,23021,1
14,17043,1
6,1758,0
10,998,0
7,9004,1
8,17955,1
4,640,0
7,24591,1
14,5071,0
12,10663,1
5,1859,0
8,10422,1
2,13893,1
12,3775,0
6,10614,1
2,2015,1
11,3704,0
4,14186,1
2,6409,1
13,8893,1
11,22097,1
9,13257,1
14,14608,1
7,730,0
7,2596,0
6,18401,1
2,19094,1
14,22858,1
12,14915,1
6,22749,1
13,6576,1
13,20496,1
7,17662,1
14,16444,1
14,12711,1
9,11798,1
6,20898,1
6,21776,1
8,17159,1
6,21924,1
2,12206,1
3,3026,1
3,22056,1
10,2569,0
6,20463,1
7,20020,1
12,5921,1
8,15138,1
8,17400,1
8,12906,1
6,19307,1
5,16660,1
2,20558,1
10,4617,0
12,9337,1
13,7102,1
9,15465,1
8,8562,1
12,5513,0
10,10335,1
3,3712,1
12,3266,0
3,15949,1
4,12411,1
5,5750,1
9,3997,0
12,21175,1
6,21479,1
10,5333,1
10,8196,1
13,4904,0
14,13764,1
14,5783,0
3,19922,1
12,21200,1
2,10110,1
5,24921,1
6,18457,1
14,15944,1
2,9210,1
9,9475,1
9,14341,1
8,1352,0
8,8335,1
11,15574,1
2,17276,1
13,13105,1
4,19079,1
3,14524,1
13,6945,1
10,9110,1
11,18760,1
8,16220,1
2,20246,1
4,23926,1
4,11878,1
7,18804,1
7,23930,1
13,1053,0
6,23852,1
3,21641,1
10,11508,1
11,11408,1
9,24284,1
9,12892,1
7,3934,1
4,17174,1
11,24085,1
2,4490,1
10,19255,1
12,5309,0
5,23227,1
10,20758,1
11,21096,1
13,7446,1
9,5882,1
6,8991,1
12,23259,1
14,8613,1
7,10164,1
12,18283,1
3,6494,1
2,11848,1
5,24838,1
8,10101,1
9,3460,0
4,9578,1
5,2781,1
13,8344,1
6,18597,1
13,12635,1
7,22960,1
14,24454,1
14,5558,0
2,4488,1
12,15788,1
4,3253,1
4,16316,1
13,24420,1
5,14214,1
13,24213,1
